CLUSTER 1,CLUSTER 2,CLUSTER 3,CLUSTER 4,CLUSTER 5,CLUSTER 6,CLUSTER 7,CLUSTER 8,CLUSTER 9,CLUSTER 10,CLUSTER 11,CLUSTER 12,CLUSTER 13,CLUSTER 14,CLUSTER 15,CLUSTER 16,CLUSTER 17,CLUSTER 18,CLUSTER 19,CLUSTER 20,CLUSTER 21,CLUSTER 22,CLUSTER 23
0,937.805225,1442.923004,1798.090716,240.3184365,1674.212145,181.1592432,82.28159227,1640.640978,149.7269382,315.8583045,1781.994704,92.10072397,76.43187442,108.4063434,1910.692711,79.99462844,127.4473567,265.9638151,173.0316255,108.1631207,122.7418304,155.6870288
937.805225,0,510.0215798,874.1664357,719.2824585,744.0045687,800.9382025,939.2796111,712.0167626,936.1361524,976.6922404,855.2784771,898.5841563,892.3598615,956.0003016,983.9285301,931.7387106,880.7595738,694.959989,937.8992082,936.7627779,894.8951358,907.1948529
1442.923004,510.0215798,0,382.3926171,1226.874171,234.8828103,1305.93842,1445.536907,212.7669788,1440.599969,1466.965441,355.5263927,1405.686523,1397.236111,1458.366347,478.8700678,1438.481348,1384.525351,1202.562118,1440.854748,1443.843626,1402.222862,1411.353226
1798.090716,874.1664357,382.3926171,0,1584.736226,184.9477289,1661.474961,1801.161103,179.9310758,1795.15208,1816.595537,48.74132302,1762.283686,1752.716644,1813.422955,158.4142439,1793.618815,1739.821734,1562.247699,1795.561943,1799.330226,1758.85553,1767.18595
240.3184365,719.2824585,1226.874171,1584.736226,0,1459.136418,136.3840076,233.2037899,1426.860886,251.6950622,377.5145527,1568.201938,193.0098567,207.7439293,278.2371159,1696.144697,218.5316534,212.5041575,60.93138243,270.5027248,226.9655951,193.7816036,239.752608
1674.212145,744.0045687,234.8828103,184.9477289,1459.136418,0,1537.429253,1677.180844,81.30796643,1671.79397,1694.517054,144.646903,1637.731315,1628.687924,1689.015398,249.5036982,1670.205459,1615.836802,1435.127228,1671.875677,1675.952135,1634.485949,1642.894379
181.1592432,800.9382025,1305.93842,1661.474961,136.3840076,1537.429253,0,180.6455139,1504.053453,160.7777931,340.3384991,1645.293176,137.7817833,140.3466621,233.2289291,1773.894397,170.8764131,140.8347166,152.3089311,149.438666,174.9273862,133.2842906,153.2747839
82.28159227,939.2796111,1445.536907,1801.161103,233.2037899,1677.180844,180.6455139,0,1643.689904,117.4301898,318.5911642,1785.067908,62.93711183,118.6485958,112.0308041,1913.745346,65.35531537,157.7741715,257.0771772,175.4356814,100.031253,106.3029816,157.0760006
1640.640978,712.0167626,212.7669788,179.9310758,1426.860886,81.30796643,1504.053453,1643.689904,0,1638.244485,1661.276427,150.1195156,1604.52595,1594.890646,1655.454821,285.611062,1636.662039,1582.013688,1403.499891,1638.393654,1642.198535,1601.28987,1609.399909
149.7269382,936.1361524,1440.599969,1795.15208,251.6950622,1671.79397,160.7777931,117.4301898,1638.244485,0,333.7120921,1779.257886,111.525375,153.103491,184.9729175,1907.921376,133.9091186,169.6275553,269.3110845,124.12942,141.9839159,119.6343903,140.2631926
315.8583045,976.6922404,1466.965441,1816.595537,377.5145527,1694.517054,340.3384991,318.5911642,1661.276427,333.7120921,0,1800.801687,315.1144516,313.9572064,343.9545231,1923.207026,312.9138025,321.3663513,391.8816741,333.7018327,309.5371363,316.7944047,332.5360827
1781.994704,855.2784771,355.5263927,48.74132302,1568.201938,144.646903,1645.293176,1785.067908,150.1195156,1779.257886,1800.801687,0,1746.093628,1736.535085,1797.113406,152.033845,1777.676478,1723.625982,1545.337518,1779.554163,1783.395553,1742.74169,1751.052803
92.10072397,898.5841563,1405.686523,1762.283686,193.0098567,1637.731315,137.7817833,62.93711183,1604.52595,111.525375,315.1144516,1746.093628,0,92.97124383,143.4429986,1874.701941,76.50206842,122.9391085,212.1644336,154.3530251,91.87042969,54.748123,113.3978909
76.43187442,892.3598615,1397.236111,1752.716644,207.7439293,1628.687924,140.3466621,118.6485958,1594.890646,153.103491,313.9572064,1736.535085,92.97124383,0,156.4440481,1865.479725,111.7970232,59.32598036,226.6925847,150.8743846,117.6350208,104.4576591,125.4682175
108.4063434,956.0003016,1458.366347,1813.422955,278.2371159,1689.015398,233.2289291,112.0308041,1655.454821,184.9729175,343.9545231,1797.113406,143.4429986,156.4440481,0,1925.583088,145.8844048,200.92378,296.930874,231.5632664,177.0977439,187.2337322,211.8970746
1910.692711,983.9285301,478.8700678,158.4142439,1696.144697,249.5036982,1773.894397,1913.745346,285.611062,1907.921376,1923.207026,152.033845,1874.701941,1865.479725,1925.583088,0,1906.418424,1852.556837,1672.877991,1908.16711,1912.344375,1871.42143,1879.781036
79.99462844,931.7387106,1438.481348,1793.618815,218.5316534,1670.205459,170.8764131,65.35531537,1636.662039,133.9091186,312.9138025,1777.676478,76.50206842,111.7970232,145.8844048,1906.418424,0,147.7445399,252.3024776,172.9338183,62.46707421,97.52900741,161.0146716
127.4473567,880.7595738,1384.525351,1739.821734,212.5041575,1615.836802,140.8347166,157.7741715,1582.013688,169.6275553,321.3663513,1723.625982,122.9391085,59.32598036,200.92378,1852.556837,147.7445399,0,226.1444943,149.4016556,140.0619371,115.5435768,121.7428043
265.9638151,694.959989,1202.562118,1562.247699,60.93138243,1435.127228,152.3089311,257.0771772,1403.499891,269.3110845,391.8816741,1545.337518,212.1644336,226.6925847,296.930874,1672.877991,252.3024776,226.1444943,0,284.3891875,256.9879197,212.2828159,247.6398569
173.0316255,937.8992082,1440.854748,1795.561943,270.5027248,1671.875677,149.438666,175.4356814,1638.393654,124.12942,333.7018327,1779.554163,154.3530251,150.8743846,231.5632664,1908.16711,172.9338183,149.4016556,284.3891875,0,163.2429312,143.7770955,134.365054
108.1631207,936.7627779,1443.843626,1799.330226,226.9655951,1675.952135,174.9273862,100.031253,1642.198535,141.9839159,309.5371363,1783.395553,91.87042969,117.6350208,177.0977439,1912.344375,62.46707421,140.0619371,256.9879197,163.2429312,0,86.16331711,146.6081027
122.7418304,894.8951358,1402.222862,1758.85553,193.7816036,1634.485949,133.2842906,106.3029816,1601.28987,119.6343903,316.7944047,1742.74169,54.748123,104.4576591,187.2337322,1871.42143,97.52900741,115.5435768,212.2828159,143.7770955,86.16331711,0,87.51535045
155.6870288,907.1948529,1411.353226,1767.18595,239.752608,1642.894379,153.2747839,157.0760006,1609.399909,140.2631926,332.5360827,1751.052803,113.3978909,125.4682175,211.8970746,1879.781036,161.0146716,121.7428043,247.6398569,134.365054,146.6081027,87.51535045,0
